method,n_robots,trials,non_foul_trials,foul_balls,success_pct,failure_pct,foul_ball_pct,unresolved_pct
nearest_direct,4,1200,360,840,81.11111111111111,0.0,70.0,5.666666666666667
nearest_direct,6,1200,469,731,75.26652452025586,0.0,60.916666666666664,9.666666666666666
nearest_direct,8,308,88,220,0.0,0.0,71.42857142857143,28.571428571428573
ours_direct,4,1200,588,612,76.0204081632653,0.0,51.0,11.75
ours_direct,6,1200,611,589,81.99672667757774,0.0,49.083333333333336,9.166666666666666
ours_direct,8,308,162,146,44.44444444444444,0.0,47.4025974025974,29.22077922077922
ours_relay,4,1200,588,612,98.80952380952381,0.0,51.0,0.5833333333333334
ours_relay,6,1200,611,589,81.99672667757774,0.0,49.083333333333336,9.166666666666666
ours_relay,8,307,161,146,44.099378881987576,0.0,47.557003257328994,29.315960912052116
